TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
ASCL1	6	8.061647611305436e-06	0.0035658883082355154	0.00260803807585698	0.00015074869271789062	0.005540557623121941	0.2266960319962457	0.07167995473619941	0.009268129666660957	0.42706341231115597	1.8634737066533952e-07	1.5486274029424271e-13	7.862431974074601e-07	2.714823029199584e-06	4.629527237674481e-08	3.437266980973983e-18
SMBT1	2	2.2180138596668168e-08	0.03034959751977766	2.9353762386356155e-07	4.3916888076431656e-10	2.2043477231803786e-07	2.477570731580121e-22	3.152511025521462e-06	0.0043619086323825	1.965525198369605e-20	1.4540102186656194e-16	0.018830834492355366	0.2956041075080827	9.22168091260319e-05	5.468964834083461e-09	0.00029584936320263343
MEF2A	2	0.009615577969348026	0.4302250498026186	0.007242483873744438	0.35932267458680367	0.1573313332485719	1.5924219451040583e-09	6.497042178824186e-06	0.4747024427758802	0.06847611194085257	0.24102924528608086	0.056850835904882144	0.4676568862116365	0.4172910852347384	0.24283245810618034	1.501613843778461e-06
SRBP1	8	0.01030807710779626	0.3960514562392021	1.9039231536324159e-06	0.03151754721614699	0.10513816545222028	0.061688359716173695	0.37874544839560714	0.049442946355750805	0.10349919658062133	0.16784483464632946	2.1072845745346797e-06	0.014731612061593562	0.13340578556193525	0.10257250749779036	7.179502271422818e-06
NANOG	14	1.9393289764467283e-18	0.08994494499378149	0.1598411876491289	4.9518075800551917e-20	9.958714104149687e-11	0.0006872427914621239	0.0006428937411367305	2.1272868658640243e-05	1.186647417192658e-12	3.3651506804166146e-45	2.1212275334712607e-39	2.66835809256675e-13	1.27820570332323e-28	2.8078604932505908e-37	1.969150999541928e-34
SPIB	1	0.004399790682381424	0.4604854007052143	0.19199545719941952	0.2902317207000013	0.20552705984171019	0.401104739031542	0.00010149317054435529	1.2886959662153204e-11	0.00395999274061939	0.1044078053270723	0.018056382669988606	0.00010568336662180347	0.4558579910919917	0.0018210552891525715	0.0005621665256798862
NFIC	2	0.03825574768447373	0.4693425914995746	0.05482216410744129	0.08474694011514095	0.4541261831895432	0.011433234174265254	0.12132835117055993	0.1575500686822315	0.4844542082231927	0.02571859285207118	0.005325065985263887	0.0686495042845741	0.0016670037011549262	0.000450415026041523	0.019428767421945013
NDF1	1	5.571442408923518e-07	0.011363709946553639	0.45533237949126726	1.206730947646468e-07	0.00046210447249285454	7.411662141966538e-10	2.1451336623048353e-05	0.4582362442698643	1.802122133368689e-07	3.106334640994635e-07	1.5424385158264722e-06	0.00011001608849245182	3.947445889181863e-10	3.316487081284962e-12	1.0621780331257877e-17
MTF2	2	4.554571026192807e-06	1.0756380321782047e-07	1.1233399445906892e-06	0.0037631507818430303	0.30321321255496897	1.1924370236824933e-08	0.1475962680608134	0.0019403976885862106	0.12740604395230296	3.2997968006945117e-10	1.0251055951828043e-14	6.10782281381425e-07	3.8196358566794445e-05	2.083458409568159e-08	1.675895665358609e-05
KDM6A	14	6.491114733199903e-11	0.006023491014945554	0.07155160184318377	4.9384034947098126e-26	3.6359605031041177e-13	1.798166783649619e-16	0.005345729412114154	1.623983037674043e-07	1.3064127774136535e-13	8.960137466790653e-32	2.4686476622905514e-08	0.3162957440960193	1.55792052706656e-05	6.873647324547773e-16	1.9938758571762013e-05
