TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
RUNX1	18	1.21304126058	0.932466150993	1.22634058008	14.2556200785	9.58134920847	10.7752363742	1.67014936083	12.7384761281	-3.03502456248	-11.3172319693	-2.76643311245	2.89040960012	-8.33409165992	-8.31578619405	-3.31890233508
OVOL2	1	-0.915752497019	0.0934500364181	-3.85840903315	7.80840826976	4.12476963868	5.40924161576	-2.07592220516	3.00247566965	-4.40700249274	-8.32969980548	-3.4453328922	-0.468396588088	-2.53201630665	-5.30662753654	-2.83547332854
RBP2	1	-1.94504395307	2.93729090853	-1.25405874204	10.6676859855	6.07216967195	7.99017905902	-3.71708962655	4.17053773097	-6.89588718287	-9.58784621481	-6.14336258038	-3.09565305053	-9.30896217866	-9.69620386394	-9.36941525925
USF2	2	-1.80188612836	1.85021264372	1.6063997296	4.73572414473	2.85445657455	6.93466039262	-6.42628133853	2.9599518712	-7.84688819446	-9.97977522925	-4.41827849838	-1.11003093409	-4.8718773131	-5.93055304986	-5.58412659582
RCOR3	1	-2.50796637028	0.941300144508	-0.0389021834519	-2.43606222045	2.84564376932	1.36933318954	-0.795451280019	4.24680597262	0.51062288897	-8.3561366518	-8.01902882518	-5.91180946534	-3.28458622861	-8.01057360602	-8.17268468807
MAF	5	5.04181330607	3.75161997682	-4.12851710347	7.86242102318	4.05739030903	5.07886564516	5.86547047832	8.23513683916	3.11974816412	2.36730039661	9.16872500882	9.61337804076	2.52527791842	4.58755768049	8.48101190764
PBX1	2	-1.34531414642	-0.499620361753	-5.25128714321	3.67779305796	-1.24714538521	1.78206968337	-1.70117539915	-0.513661568574	-2.47490513415	-2.12142364242	-0.869047999417	-0.970858627413	-2.12343613917	-3.44219663884	-3.07950275185
PPARG	27	0.191976044294	5.68868439916	3.64363407829	10.2253229353	4.35459395802	7.29800432795	-0.109158050462	8.46402302165	-3.30682455166	-7.05283965566	-5.45738300681	-1.32127649336	-6.56526799597	-5.6326521806	-7.54119616568
KLF5	4	-3.26464248791	1.71023783901	2.8990567317	10.2033759471	6.89524727529	5.72420133751	-3.1555214222	4.8323402114	-6.81441974916	-14.5153478637	-11.9568694004	-5.67263399145	-9.97092426128	-12.8413272198	-13.0424102647
HXA9	2	-0.634686580716	3.29763139112	2.1722648478	3.85666098669	0.55845451947	-2.17681326917	-2.96978038227	-1.66706847922	-5.45661201352	0.901522239656	-0.404173818873	0.619025434967	-3.99018443713	-1.56261486845	-2.06392428108
PRGR	4	3.47175640599	7.9675945289	4.30169489664	12.5013356827	9.77825783502	11.74161775	3.12668968743	11.4349022934	1.68263495833	-5.46236514151	-0.732158125616	3.74264413789	-1.52425845024	-3.78735208522	-6.16664828386
HCFC1	5	0.0719065816796	5.61013053081	-2.60378774649	16.1620608171	7.82779100885	14.3845679435	-1.13261826228	11.3839382151	-6.6571327056	-13.193113363	-3.7285727665	0.0267101699847	-8.9959443877	-10.5206168574	-7.55672045282
RFX6	1	-2.44203995948	3.510348602	7.36248595382	2.16330449665	5.99101288773	4.21898242044	-2.83895010307	2.41064090112	-4.13760496664	-8.12374318735	-10.1378841722	-7.55675139578	-8.18922839683	-9.62172447736	-9.23944799534
ZN281	2	-3.2425532787	-3.53493199015	2.96266688643	3.24405687103	-0.566872215885	-3.54040491717	-0.717122682551	2.48621383019	-1.06981726553	-5.68147228259	-8.04237623198	-7.4214121909	-7.79419586585	-6.70581084241	-9.01426700444
MED1	27	-0.482787386449	3.21276336771	0.859683255246	14.5244716935	7.57355514918	7.10721640337	-2.6340401023	10.2379212422	-4.91425714723	-12.5983238229	-5.93082145756	0.889879222565	-6.7761981106	-8.92190593139	-9.3889671721
SOX9	3	-1.62336143355	3.04705236112	5.18194070332	0.385790849603	5.95798884238	1.20171921925	3.13712141794	2.45149341859	0.513138700959	-9.15963992062	-10.6455132968	-4.92942102698	-6.42273808789	-7.96968693789	-5.47630631263
JARD2	13	-5.42012134835	-5.4455885403	-3.20352725254	-2.85991088036	1.90372089389	-3.91519893294	-2.48094884353	1.95961573582	-1.41797842334	-10.9755117538	-13.2433471321	-9.29731695066	-7.05384368323	-9.92993315385	-9.92192995999
NCOA2	4	-0.129242663928	3.60027676377	-2.06048126262	8.37588379581	4.0010633053	8.08679792924	-5.57679132418	8.30467820689	-4.27272494348	-8.33876554362	-0.0539084753063	0.785249565499	-3.46035802593	-4.68387726651	-6.51644001985
LHX3	2	-3.12263163571	0.346867505937	1.58503749719	1.87301586653	3.7213875676	-0.996757274019	-3.12228022946	0.923634942274	-3.52139425466	-8.77415644038	-8.85077074912	-5.14040919731	-5.84197689192	-8.42424754002	-7.4947937026
TF2B	6	-1.88565165304	2.92041362942	-6.67314395563	11.4297385972	5.14090121329	7.9592466723	-5.13244890676	9.25118581113	-7.61061966254	-15.082512744	-5.43352018436	0.347958128582	-6.37028487759	-9.4211352661	-7.72490159759
