TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
PER1	1	1.11611399604	1.1973936024	0.171184665964	1.13997917642	2.74395676896	3.19378098493	-1.94124785512	2.46451579888	-0.586697264132	0.718959034486	2.30935334755	2.6132101149	2.96552159743	0.369971824653	-1.73428585278
RXRA	34	-0.40248982018	6.74665451626	4.09506295753	8.19130634221	4.62146394062	10.2255397998	-5.96652846806	6.89165468826	-5.48445014535	-7.16778775918	-3.40713979129	-1.90680774393	-5.66283445258	-6.34012190335	-10.4708694635
ELL3	1	-2.00478017056	-0.683212821645	4.88564863593	2.30788908635	2.55524831157	-1.99851568331	-3.68057871012	-1.36159839059	-2.22151655964	-3.27633628223	-7.21700700688	-6.11077251762	-4.85043535739	-2.11185777283	-4.30387731943
TEAD1	1	2.41105253082	5.12822075305	4.75910010251	9.11527945634	9.7450145162	2.56870546514	3.71968835334	5.62070947381	1.37007970187	-3.8642020147	-2.91073555624	3.35612131175	-0.050742724403	-1.1926747357	-3.60982867154
CBX3	4	-2.09182252622	2.65900135538	-2.71937380819	10.5207917638	5.24731578568	8.85023042046	-3.32303099857	5.94667511775	-7.15127843565	-11.4235810225	-6.46183766141	-3.18365086471	-8.42468736626	-10.5930202254	-9.22906942738
JUN	12	3.15425923869	5.1859802612	3.09605690286	16.315638286	9.7043572384	11.9052261229	0.252314915002	12.6579771583	-3.25898861721	-9.01878450788	1.19474328512	7.29993730646	-5.172051378	-4.35803413318	-1.64474349832
KLF3	3	-1.44490882173	2.43700816159	-0.597348111311	10.6709780549	8.35061774451	7.96661424978	-0.13557521678	6.69162174305	-3.48236055246	-14.6162162924	-8.64342051259	-0.940053813058	-7.97688275501	-11.2548963891	-8.69880981541
T2FA	1	-1.50931534871	0.37254374011	0.695329209791	1.69934080283	0.167000321502	-0.500152737854	-4.80953083445	1.97425889196	-2.94423818863	-5.83283950218	-2.23001824564	-1.81669219438	-2.56840433969	-3.3115854201	-2.02542638523
TAL1	18	-0.809063231267	-9.86411181677	-1.37489347032	4.45454134394	2.97776531465	0.784154497382	-3.06308632355	7.62797455931	-2.37311703063	-8.19878626874	-0.503016785171	2.08661278364	-3.35197235078	-1.99290352228	1.46395383157
SMC1A	9	0.0430191881439	1.95949591458	3.25403223654	9.58340460506	7.54692995345	2.55364281665	4.61965363877	10.4963190918	3.72251142246	-10.4846196634	-8.5275322812	-1.26180801933	-6.11549994003	-8.08137566262	-8.66288547876
KAT5	3	-0.695941353156	6.01630761597	-4.20754949532	5.64262680516	5.63694977562	6.97477090318	-3.55430258044	1.89484538709	-7.81484814779	-5.47105538427	-2.24170882329	1.04966528828	-5.42414254325	-4.18216270734	-4.06257503779
ZFP384	3	2.03358582644	0.937955808186	-3.13580540647	8.6426973059	9.28789356863	6.02055291551	4.67359874741	10.259444265	0.629686949232	-6.86394339919	-0.386239984931	4.15643804333	-1.32621437023	-4.34157770053	-0.084285171774
PO3F1	1	-1.62235925389	3.3590982019	1.8735973529	0.386144043067	2.80512232539	3.99965728417	-0.516605244509	-0.277862706817	-3.53108151113	-5.55521177729	-6.0750192893	-3.8607942878	-4.99708290931	-4.3811617776	-5.94182925818
SCML2	2	2.01353109698	1.75912550054	-2.34770791696	3.10130059755	2.12931712316	-0.463741806338	1.31514424642	2.25156235007	2.99981514314	1.4684353532	3.68061890298	4.69810309375	1.5750730054	2.71288921267	3.3095005522
EHF	1	-5.39275324503	-3.48005166951	-5.64855810083	3.49370203463	1.5292736066	-2.72732136929	-6.30619177828	2.15751005284	-7.73633406139	-14.0770043658	-10.2358406721	-7.84731111799	-5.14885465328	-10.2062643282	-9.26529900785
MK10	5	-3.61937171371	0.991353871387	-2.83287900642	9.19972575834	2.56562092651	6.23312331915	-3.9655011178	0.586544596771	-9.31916504308	-11.8223921926	-7.50306776978	-5.58205995629	-8.05663516706	-11.4229901618	-9.74288204914
HDAC2	2	-4.44824866443	-2.11518120484	1.81005123463	6.56229920443	4.30888751467	3.35317809716	-4.9172158735	4.40364557298	-6.71351464338	-14.2601018072	-10.9475403744	-7.91034291166	-9.81358586453	-12.7126324887	-13.3234277577
IRF2	1	6.00224307471	2.18094789041	-1.05274553632	7.74937272592	-2.94199022179	2.47075770066	5.72055130795	8.44637054194	6.4456214977	9.37258918375	11.4668579275	11.5536485032	6.53072799455	8.3532072041	7.73548632638
ETS2	2	3.27155703597	3.99575834132	-0.985425684823	13.9126833454	6.65275348085	12.5273433551	-0.683011086645	9.11810835432	-3.94023016443	-6.35038506526	3.65523618998	8.82529637218	-0.983568917288	-1.53117580797	1.58841579077
